idparticipant,car_vin,drivers_licence_number,idviolations
354E,WAULT68E24A316908,OV4T817,1OR60J029R
919H,JN1AZ4EH5BM926392,WJ3I253,8ZA85P164Y
340U,JTHDU1EF0E5128806,QM0K528,5CE38Y565G
261V,1GYFK46898R851417,ZC1Q241,0WO88G294G
862I,JH4CL958X7C560803,SM5V955,1XG95H045D
771P,SCBDP3ZA5AC856374,GO7B372,2EO42H471E
489M,2D4RN6DX1AR311336,DJ8Y573,6OE92P644U
836C,3CZRE3H31AG297103,EK1L162,6EN19S308C
888U,3D73Y3HL3BG898572,MD2E393,6IR46T727Z
433X,19VDE3F74DE090218,CM6U498,9MN18R751J
962Y,WAUHFAFLXCA139699,FQ6Y505,1MZ68T804T
684I,3D4PH7FG6BT554544,OD0S176,1FA71B053I
329F,WBAFU9C52DD184492,HO2R054,6CA47T568H
118T,WA1CGBFE2ED078569,YP1L446,0CI12M503Z
761P,1G6KE54YX3U128947,XG1O311,3JX45S727B
232I,1FTEW1E83AK002644,KE2J836,3FB84R373P
823M,JTEBC3EH2D2241015,HI5P401,4MF95P950O
011W,1FTFW1E88AK999676,XH9O876,9LG46V465W
491V,JTDKDTB34D1047134,BE9O185,4DS74D927Q
102M,SAJWA2GZXE8395239,PE9U577,9DN65D734Q
673B,KMHFG4JG9EA049171,MZ1X741,0IN03U487J
155M,1FTSW3B55AE158160,AA4R280,6MQ76J027P
476T,YV1622FS3C2491983,SY5F675,4MU32S318H
926P,3D73M4EL1AG875134,SI1Y661,5WH16W752V
130J,KMHGH4JF2BU259484,PH9P708,2TB59G672R
038A,1GYS4AEFXDR165971,RD6Z736,4BA56J975E
567N,WA1CFAFP3FA105523,DI1P069,9JN47B287Q
132W,2G4GR5GX6F9088017,FG3U606,4XF62D039B
351W,2G4WD582871429902,XY5U676,6WZ62I223I
555J,WBAVB73518K088165,OU6Z381,8AS16Q664E
394O,JN8AZ1MU1DW381457,HC1S460,1WU76B280F
893V,1G6AF5SX2D0351818,LD4X556,8VD83U230N
498W,WBABS334X2J926564,AN9N366,9WS95S763N
374F,19UUA65506A849720,AF3H077,5VT13N190K
970B,2C3CCAFJ4CH888749,JN1E364,7GF66P010U
936V,WAUMF78P96A931297,FO3C379,8PF64C199E
343S,1C4NJPBA2FD042754,OF6I125,5NV12F675G
565W,1FT7W2A60EE573340,TN3X824,5TC31C836Z
115B,1FA6P0H74F5756228,AY2G025,1CI40Q753G
896V,WBA3F9C58EK778725,RL7N529,5YB34Y185P
804I,1N4AB7AP3DN718577,DA8H795,7AA82P291E
823C,WAUDT48H54K609859,JB0U304,8VS88W667P
287W,1G6DA67V480940271,DL7G874,3IN56N524G
448B,WBADN63482G702305,QV9W593,0KJ20H439E
616Y,WAUKH94F17N512008,ZI2Y210,0QT44O873S
165J,WAUPN94E58N695565,TG7Q932,0LK45U136L
833T,JN1AZ4EH4EM190260,LN2X063,8QE76W509X
997Q,3C3CFFJH2FT410382,MC3D816,4YM61A559J
464I,1FADP3E24DL074945,NV8N937,7TA00S049V
153L,1N6AA0CC3AN822221,LZ2K963,5YL61B255X
640D,WDDEJ7KB4CA854018,XP1U817,4UZ51F268O
790F,JH4DC54855S499717,QI6B758,9TW76B865S
409T,JN8AS1MU9AM436538,GC6W815,8YM31N532H
693L,WAUSG74F19N892350,FR7M410,9XB51U676E
545G,1C3ADEAZ2DV684744,GV8E143,7MJ19J636C
290O,1N6AF0KX2FN193872,PD5J161,5HI08E105P
463G,WAUCFAFC8FN456548,AN1V576,5MQ71T469H
652H,1G4HR54K714983783,IN2H044,6XJ17Q916C
426X,WAUDF78E88A405051,SF6N870,6FA32F596B
206H,WAUBF98E28A563033,ZP3U806,0AX79X763D
697A,SCFHDDAJ8BA032991,ST0J329,7EH55Q982R
052K,SCBBP9ZA7CC284172,UP3G468,2MQ63O785C
297X,1C6RD6LP2CS697839,EZ5U265,2AL79M982J
702L,WBAGL63474D083347,QI7V412,7MK56Z405W
697K,1G6DF5EG5A0391623,JK4B792,7IE16K890U
341X,WBAEK13567C884707,YI9M716,1CV69Z092M
738A,WA1VKAFP6AA736117,LE5I804,6NS62V796X
958B,2C3CCAAG3CH780831,YG2L195,8UT01O133O
981P,SCBBR9ZAXBC246623,YN3P339,4IF61J785W
805E,WAUUFAFHXAN446208,YE5X769,7ER28W331N
351E,WBAVC53558F129133,YR1W884,1UN89F144P
550D,1VWAH7A30EC551160,RS0V229,6UE32K046Q
144Z,3D73M3CL8AG228159,UM0X149,1YX12I877H
588H,1FMCU0C75BK916053,GN6E507,3LL45A512C
249E,19UUA66237A280478,IK1Q637,8AY65V337H
794E,5TDDCRFH3ES864670,FC7C349,7UM68D973Q
382H,1G6AH5SX2E0316059,VE8S227,9HE55B174F
424E,3N1BC1CP1CK761411,MD5J799,5BM80L888R
974P,5N1AA0NE6FN597300,HI3V127,0ZZ73R546A
643V,1N6AA0ED2FN426844,VU5D821,0UG20O931V
233D,1GYS4BEF0BR215280,QZ1Z098,7PL31G498D
676Z,WAU3GAFD5FN214807,AN3X225,4HJ88O251H
822F,1FTMF1EW1AF852968,BZ3D784,9VP66X253Y
538A,1G6DH5E56C0913980,FR4L967,8DI79G168P
331Z,5TFCY5F14BX578390,IK8X537,4PI65P763L
468H,JN8AZ2KR4DT964658,XW9Z426,0XR20E270U
060Q,WBANN73577B300122,YN6B962,8XC20P140G
664K,1GYS3BKJ8FR570067,EU0D682,5RV85E284S
371U,JM1NC2MF9E0952686,IK0F150,6XF69X276F
723I,2C3CCARG2DH920714,EC8H070,9QT23I664E
083H,WAURV78T78A690137,DB7B406,2DF02Y429U
891T,3D7TP2CTXBG439995,TP9F631,2LG14T254W
866C,WAUCFAFC7FN711173,FA9T583,8VD39Q455M
335A,5UXZW0C56D0786257,SW2G968,0ZP71F648A
099W,1FTSW3B55AE886951,ZY5U393,6CR76P512X
403W,WAUEV74F98N345487,DQ0C672,6WA35A009D
