car_vin,category,car_registration_number,manufacturer,model,color,release_year,current_value,idincat,drivers_licence_number,contract_code
SCBDP3ZA5AC856374,private vehicle,KVJ3956,Chevrolet,APV,Pink,1993,"â‚¬95065,35",NOG150528ULJ8050,GO7B372,14208027
2D4RN6DX1AR311336,private vehicle,QKU3759,Ford,F150,Maroon,1995,"â‚¬18849,48",KSN945848WFO2508,DJ8Y573,34727115
3CZRE3H31AG297103,motorcycle,BEO0614,Audi,4000s,Turquoise,1985,"â‚¬75305,39",HXG302397PSM3991,EK1L162,50072457
3D73Y3HL3BG898572,private vehicle,VYI3822,Chrysler,PT Cruiser,Red,2007,"â‚¬80768,04",LKA042976UOX9174,MD2E393,22123121
19VDE3F74DE090218,motorcycle,RUC9136,Chevrolet,Aveo,Yellow,2004,"â‚¬71148,62",VDG691300GFT7968,CM6U498,40700878
WAUHFAFLXCA139699,truck,VYH6456,Dodge,Journey,Goldenrod,2010,"â‚¬69074,53",NQK719222ICX2228,FQ6Y505,48946432
3D4PH7FG6BT554544,private vehicle,OKB0541,Toyota,Camry,Purple,2005,"â‚¬67977,52",CBL228906TET6588,OD0S176,44972974
WBAFU9C52DD184492,motorcycle,CRH3332,Mitsubishi,RVR,Mauv,1995,"â‚¬93726,93",BFR749500NNM9818,HO2R054,89570437
WA1CGBFE2ED078569,truck,NCE8858,Volvo,XC70,Violet,2010,"â‚¬46501,27",XKO594331EAG1743,YP1L446,97598652
1G6KE54YX3U128947,private vehicle,JGH9049,Mazda,B-Series Plus,Violet,1995,"â‚¬11486,38",GFA163677FZU4695,XG1O311,70853295
1FTEW1E83AK002644,private vehicle,EGX9436,Volvo,C30,Turquoise,2011,"â‚¬32382,32",TLH516582VFJ3204,KE2J836,49154960
JTEBC3EH2D2241015,motorcycle,LYS5257,Ford,E-Series,Puce,2007,"â‚¬45367,87",OYX550435HJT9206,HI5P401,41044967
1FTFW1E88AK999676,truck,PZN4277,GMC,Sierra 2500,Maroon,2001,"â‚¬98782,29",MLT498664IPD8824,XH9O876,19273007
JTDKDTB34D1047134,truck,MYK6880,Mitsubishi,Galant,Red,1997,"â‚¬89422,69",OOX708104KOW6189,BE9O185,91315634
SAJWA2GZXE8395239,motorcycle,UAP0586,Lexus,GS,Blue,1997,"â‚¬89251,06",OXF630341DFE1680,PE9U577,14105907
KMHFG4JG9EA049171,truck,CID5884,Volkswagen,Quantum,Khaki,1984,"â‚¬97210,91",KYC945305JZH2203,MZ1X741,17035819
1FTSW3B55AE158160,motorcycle,QRA3967,Mitsubishi,Lancer,Indigo,2002,"â‚¬34219,51",QTE941108GKV2049,AA4R280,78776121
YV1622FS3C2491983,truck,KPD4060,Mercedes-Benz,SLS AMG,Puce,2012,"â‚¬92245,37",NKR407323ISU4724,SY5F675,99446681
3D73M4EL1AG875134,private vehicle,ISI6810,Mazda,Miata MX-5,Purple,2000,"â‚¬74067,98",OKL290098ZWL9337,SI1Y661,30215631
KMHGH4JF2BU259484,truck,XHZ8172,Honda,Odyssey,Red,2003,"â‚¬5935,48",PYX798851HXZ4507,PH9P708,56994197
1GYS4AEFXDR165971,motorcycle,UJJ0327,Lincoln,Town Car,Violet,1987,"â‚¬73643,23",QJU751364JNI7131,RD6Z736,15305277
WA1CFAFP3FA105523,private vehicle,YOB5371,Pontiac,Grand Prix,Blue,1994,"â‚¬93124,67",LAN630344NFD8277,DI1P069,26673437
2G4GR5GX6F9088017,truck,DDC8593,Mercedes-Benz,W201,Indigo,1991,"â‚¬93444,59",DGE757217EUE2102,FG3U606,90135734
2G4WD582871429902,private vehicle,YRV1065,Hyundai,Accent,Indigo,2004,"â‚¬55068,66",ETS927492BWS7125,XY5U676,82489469
WBAVB73518K088165,truck,XYS3393,Acura,NSX,Puce,1995,"â‚¬96027,74",LYS526442TLD8948,OU6Z381,29417992
JN8AZ1MU1DW381457,motorcycle,ZAO0841,Honda,Civic,Purple,1991,"â‚¬62526,37",HIS099321NMH0830,HC1S460,60505345
1G6AF5SX2D0351818,motorcycle,WKK8158,Land Rover,Freelander,Crimson,2010,"â‚¬76407,97",HDA476511SXO4969,LD4X556,73172516
WBABS334X2J926564,motorcycle,LEZ7414,BMW,M3,Pink,1999,"â‚¬82692,80",JBS302762NXC9753,AN9N366,52738670
19UUA65506A849720,private vehicle,KGY7539,Suzuki,SJ,Pink,1985,"â‚¬60602,35",VAR380051WNN1261,AF3H077,14030468
2C3CCAFJ4CH888749,truck,SXV3933,Pontiac,Firebird,Orange,1992,"â‚¬52217,14",ANQ955583BME9914,JN1E364,66317748
WAUMF78P96A931297,motorcycle,DEP8723,Ford,Econoline E150,Goldenrod,1999,"â‚¬78712,72",JNM243488CRM8236,FO3C379,30814338
1C4NJPBA2FD042754,private vehicle,MLC8126,Ford,Probe,Khaki,1993,"â‚¬92111,42",FFS983512JSF4670,OF6I125,23617429
1FT7W2A60EE573340,private vehicle,EOB0297,Aston Martin,DBS,Green,2010,"â‚¬19413,48",AFA492063JZZ8644,TN3X824,51123850
1FA6P0H74F5756228,motorcycle,IBS1878,Audi,Quattro,Mauv,1994,"â‚¬85165,46",OSZ125432BXH4230,AY2G025,4446192
WBA3F9C58EK778725,motorcycle,AMV9137,Toyota,Camry Hybrid,Orange,2010,"â‚¬63345,44",BII240012RSQ3757,RL7N529,65645415
1N4AB7AP3DN718577,truck,DJN5961,Ford,Taurus,Blue,2003,"â‚¬23720,40",UGW410819WFE8926,DA8H795,16248888
WAUDT48H54K609859,truck,AVP8261,Acura,MDX,Crimson,2005,"â‚¬69911,72",MZO670160VEX7889,JB0U304,22963668
1G6DA67V480940271,motorcycle,YQN5086,Buick,Park Avenue,Fuscia,1997,"â‚¬73662,32",NIR415996JFQ8400,DL7G874,94118860
WBADN63482G702305,motorcycle,TKP7283,Acura,MDX,Puce,2004,"â‚¬50148,84",RRN584507WMS2024,QV9W593,39094103
WAUKH94F17N512008,motorcycle,EFV3345,Dodge,Ram Wagon B250,Orange,1992,"â‚¬75808,88",XGL700383BPM8064,ZI2Y210,47037577
WAUPN94E58N695565,private vehicle,CYX7514,Toyota,Corolla,Turquoise,1993,"â‚¬66076,99",BIM505853NOG9175,TG7Q932,28918973
JN1AZ4EH4EM190260,truck,FKW8301,Ferrari,430 Scuderia,Yellow,2009,"â‚¬65576,79",BTG189313PHY3464,LN2X063,21315345
3C3CFFJH2FT410382,truck,XBH6304,Hyundai,Sonata,Mauv,2003,"â‚¬84051,34",MCD957540YXN3764,MC3D816,62691845
1FADP3E24DL074945,truck,NFK0259,Nissan,Armada,Orange,2008,"â‚¬14106,56",BZF093356EPF9752,NV8N937,47586807
1N6AA0CC3AN822221,truck,ZST7650,Porsche,Boxster,Puce,2006,"â‚¬93520,56",EKK910745CWO5920,LZ2K963,65156367
WDDEJ7KB4CA854018,truck,YHU4767,Volkswagen,Cabriolet,Khaki,1996,"â‚¬79482,01",VZT868671JDA5877,XP1U817,67524085
JH4DC54855S499717,private vehicle,GNB4472,Mazda,323,Indigo,1992,"â‚¬69039,44",YNY644579NIA4440,QI6B758,46268067
JN8AS1MU9AM436538,truck,YUO6776,Dodge,Avenger,Turquoise,2000,"â‚¬59865,28",SIV001385KDZ6849,GC6W815,30578793
WAUSG74F19N892350,truck,DGK9396,Mazda,MPV,Blue,1991,"â‚¬97555,27",GAX575173VGN2140,FR7M410,4056218
1C3ADEAZ2DV684744,truck,WJD6751,Mercedes-Benz,SL-Class,Teal,1989,"â‚¬71228,59",WWL349090PNR8755,GV8E143,40768709
1N6AF0KX2FN193872,truck,BFE6581,Mercedes-Benz,CL-Class,Mauv,2004,"â‚¬26661,97",IBD980103ATR7348,PD5J161,68119311
WAUCFAFC8FN456548,private vehicle,GGI0663,Infiniti,QX56,Orange,2010,"â‚¬56166,31",CYL656743ZCF5651,AN1V576,98324195
1G4HR54K714983783,motorcycle,BQL9939,Buick,Century,Orange,1987,"â‚¬95155,19",GCS777908ZQE9220,IN2H044,94289301
WAUDF78E88A405051,private vehicle,FAK6756,Buick,Regal,Crimson,2004,"â‚¬64270,89",GOA681512AUS7417,SF6N870,22898238
WAUBF98E28A563033,private vehicle,GVG2699,Nissan,350Z,Orange,2007,"â‚¬30908,43",FBA481169DYO9021,ZP3U806,4296598
SCFHDDAJ8BA032991,private vehicle,EFG4297,Honda,Odyssey,Green,2000,"â‚¬63686,72",XVV825947WHG5270,ST0J329,47897095
SCBBP9ZA7CC284172,truck,GAK9335,Isuzu,i-Series,Fuscia,2006,"â‚¬1449,12",DVA379761RRW1848,UP3G468,10568280
1C6RD6LP2CS697839,motorcycle,DGX3476,Buick,Riviera,Crimson,1996,"â‚¬77488,67",VUI159849FPG0325,EZ5U265,65402657
WBAGL63474D083347,truck,VJT1107,Volkswagen,Fox,Fuscia,1990,"â‚¬47508,04",RVF066779DZD3887,QI7V412,27202981
1G6DF5EG5A0391623,truck,MIB1904,Buick,Coachbuilder,Turquoise,1994,"â‚¬10417,63",HZJ710144FEF3830,JK4B792,91907262
WBAEK13567C884707,motorcycle,LKC8465,Subaru,SVX,Crimson,1995,"â‚¬34722,10",TTF430914NNN8311,YI9M716,67151810
WA1VKAFP6AA736117,motorcycle,FMD2026,BMW,8 Series,Fuscia,1994,"â‚¬21228,66",JKJ572218PSV5533,LE5I804,34475720
2C3CCAAG3CH780831,truck,ECG3723,Suzuki,Grand Vitara,Crimson,2001,"â‚¬39677,87",ZMM744286KNC6627,YG2L195,36971249
SCBBR9ZAXBC246623,motorcycle,BIE6241,Studebaker,Avanti,Orange,1964,"â‚¬32716,36",XAR230070HGX4635,YN3P339,51135338
WAUUFAFHXAN446208,truck,SDL9069,Oldsmobile,Silhouette,Yellow,2000,"â‚¬48512,89",BGM093841SLT1652,YE5X769,46160891
WBAVC53558F129133,private vehicle,XXB4176,Isuzu,Axiom,Pink,2003,"â‚¬29280,85",ALF104535YIM2831,YR1W884,45260698
1VWAH7A30EC551160,private vehicle,YSM0713,Lexus,SC,Crimson,1999,"â‚¬3248,03",GLL809019IAX0567,RS0V229,97342876
3D73M3CL8AG228159,motorcycle,ICZ4925,Oldsmobile,Aurora,Mauv,2002,"â‚¬86046,67",EMD017093SKX9401,UM0X149,63596637
1FMCU0C75BK916053,motorcycle,MAF1907,Volvo,S60,Aquamarine,2011,"â‚¬95336,14",PMM108152ZNW4939,GN6E507,30927329
19UUA66237A280478,motorcycle,DUG3001,Dodge,Ram 3500,Green,2007,"â‚¬10977,91",GKK043391CYP3487,IK1Q637,28852491
5TDDCRFH3ES864670,private vehicle,ISI9711,Lincoln,LS,Violet,2002,"â‚¬99573,09",IKR481206VFX5302,FC7C349,75237545
1G6AH5SX2E0316059,truck,OCO2000,Mercedes-Benz,S-Class,Maroon,2003,"â‚¬97148,75",MHF714928UYL6302,VE8S227,31676274
3N1BC1CP1CK761411,private vehicle,SLG4847,Audi,A5,Teal,2012,"â‚¬16532,40",SAP956425UUW3249,MD5J799,69313635
5N1AA0NE6FN597300,private vehicle,CTP5538,Chrysler,Sebring,Indigo,2010,"â‚¬62968,26",WGX210589XNM5782,HI3V127,77491932
1N6AA0ED2FN426844,private vehicle,SXG2228,BMW,X6,Aquamarine,2011,"â‚¬75744,68",QCA063742WYF0879,VU5D821,94441616
1GYS4BEF0BR215280,private vehicle,TCT6867,Jaguar,XK Series,Green,2013,"â‚¬58113,95",RSB576170JCA4844,QZ1Z098,28602384
WAU3GAFD5FN214807,truck,UZN9225,Chevrolet,Blazer,Purple,2005,"â‚¬6339,14",EJY019347LGE0613,AN3X225,87379517
1FTMF1EW1AF852968,motorcycle,XNM6092,GMC,Savana,Green,2006,"â‚¬63662,66",ATQ340409YRU9095,BZ3D784,77322632
1G6DH5E56C0913980,motorcycle,DIP5154,BMW,Z8,Red,2001,"â‚¬52393,06",DOE277310JDU0358,FR4L967,72286772
5TFCY5F14BX578390,private vehicle,KNY3361,Subaru,Alcyone SVX,Crimson,1992,"â‚¬19507,36",KLS364253RUQ8554,IK8X537,58138707
JN8AZ2KR4DT964658,truck,PBT2181,Toyota,Highlander,Green,2004,"â‚¬9726,05",ECQ980017UZJ2208,XW9Z426,91582944
WBANN73577B300122,motorcycle,RCN6016,Ford,F-Series Super Duty,Purple,2012,"â‚¬1573,38",ROE425672QRB3167,YN6B962,24951876
1GYS3BKJ8FR570067,truck,AUW9368,Nissan,Armada,Crimson,2009,"â‚¬13363,75",CKC880677HYA1442,EU0D682,32734878
JM1NC2MF9E0952686,private vehicle,WZL0661,Ford,Laser,Maroon,1984,"â‚¬44560,74",RND571828XRC4071,IK0F150,81255508
2C3CCARG2DH920714,motorcycle,BIA2517,Volkswagen,riolet,Puce,1992,"â‚¬2593,75",WUY366787OWQ8321,EC8H070,88741998
WAURV78T78A690137,truck,JRQ2621,CitroÃ«n,2CV,Violet,1948,"â‚¬87661,81",TUZ173761WYT6036,DB7B406,90459422
3D7TP2CTXBG439995,truck,BJP1075,Isuzu,Amigo,Blue,1994,"â‚¬38494,70",HDI198232DYZ1817,TP9F631,14261767
WAUCFAFC7FN711173,private vehicle,OWW0590,BMW,525,Puce,2006,"â‚¬1743,63",WEW754199IEO1753,FA9T583,8758637
5UXZW0C56D0786257,private vehicle,HEA1486,Mitsubishi,Diamante,Khaki,1997,"â‚¬22923,35",FHY544892JOL7736,SW2G968,86453650
1FTSW3B55AE886951,truck,YRA1419,BMW,M Roadster,Red,2006,"â‚¬48872,97",CNO008313UEZ9103,ZY5U393,91934385
WAUEV74F98N345487,motorcycle,NAF0037,Toyota,Land Cruiser,Khaki,2002,"â‚¬28982,59",VST964862OHL3607,DQ0C672,74183287
